house_id,lat,long,hours_of_sunlight_per_year,sq_ft_available_for_solar_panels,Block,energy_type,total_gas_usage,total_usage,sq_ft_available_for_solar_panels_block_avg,hours_of_sunlight_per_year_block_avg,total_energy_usage,geo_cluster
a843fe8a,0.9328969191443583,0.7675850117398824,1236.0,1392.0,812101-2,Meter,,300.24,2667.8008298755185,1348.395176252319,300.24,0
55aad0b1,0.932672674053471,0.767272234499103,1351.0,1533.0,812101-2,Both,49919.76,112.92000000000002,2667.8008298755185,1348.395176252319,25016.34,0
e3c632b3,0.9438499594555374,0.8038471257796971,1472.0,10871.0,811500-1,None,,,3704.622950819672,1398.878048780488,,3
000fe7ba,0.9532451370663786,0.7397692003478653,1406.0,2819.0,812101-1,Both,35992.08,1320.2400000000002,1580.1323763955343,1311.4172015404365,18656.16,2
fb5553d1,0.9528076915151864,0.7380476625061618,1362.0,722.0,812101-1,None,,,1580.1323763955343,1311.4172015404365,,2
2cf6190e,0.9527312337846112,0.739692670514188,1198.0,2132.0,812101-1,Both,18531.36,674.4,1580.1323763955343,1311.4172015404365,9602.880000000001,2
0d12f2a9,0.9395268710826556,0.7881987640454469,1310.0,652.0,812104-2,Both,38502.71999999999,91.56,1255.7422360248447,1401.2662889518413,19297.139999999992,0
c73e96d2,0.9396705109092345,0.788667677303124,1345.0,758.0,812104-2,Both,18912.24,696.96,1255.7422360248447,1401.2662889518413,9804.6,0
e0141bf2,0.9290583501680558,0.7672332794334693,1493.0,1956.0,812101-2,Both,25097.040000000005,455.04,2667.8008298755185,1348.395176252319,12776.040000000003,0
314fdb11,0.9289963756783024,0.7673071208443645,1493.0,1956.0,812101-2,None,,,2667.8008298755185,1348.395176252319,,0
dec094c1,0.9285276579877397,0.7655271684473064,1424.0,1762.0,812101-2,Both,41711.76,180.0,2667.8008298755185,1348.395176252319,20945.88,0
53c0a6be,0.9289119674038275,0.7666264717389311,1397.0,1938.0,812101-2,Both,19643.76,280.55999999999995,2667.8008298755185,1348.395176252319,9962.16,0
64910021,0.9283826599432423,0.7653099926031359,1418.0,1973.0,812101-2,Both,42868.8,566.52,2667.8008298755185,1348.395176252319,21717.66,0
5977176c,0.9290599005241162,0.767186538767632,1493.0,1956.0,812101-2,Both,21937.68,164.64,2667.8008298755185,1348.395176252319,11051.16,0
445a5d52,0.9290567931865397,0.7672800110777445,1493.0,1956.0,812101-2,Both,16000.56,383.52,2667.8008298755185,1348.395176252319,8192.039999999999,0
1a0e7a9f,0.94036628288287,0.7806852448649266,1292.0,1603.0,812104-4,Meter,,273.24,1511.2835820895523,1367.479012345679,273.24,0
c10abddb,0.9400521038894922,0.7805396821080848,1295.0,1321.0,812104-4,Both,23253.120000000003,266.88,1511.2835820895523,1367.479012345679,11760.000000000002,0
ae1d9225,0.9405162831445715,0.7807582111851872,1328.0,1092.0,812104-4,Meter,,126.24,1511.2835820895523,1367.479012345679,126.24,0
be2d2305,0.9407130922335263,0.7803590074671547,1427.0,1409.0,812104-4,Both,30829.680000000004,120.48,1511.2835820895523,1367.479012345679,15475.080000000002,0
c5988d9b,0.9399098885353574,0.7804663278610349,1251.0,1110.0,812104-4,Both,33919.200000000004,394.92,1511.2835820895523,1367.479012345679,17157.06,0
b590e55f,0.9405765416419314,0.7802986442563622,1447.0,1286.0,812104-4,Both,25604.640000000003,208.56,1511.2835820895523,1367.479012345679,12906.600000000002,0
50ee1f40,0.940216315748426,0.780632044767188,1133.0,1860.2809667673716,812104-4,None,,,1511.2835820895523,1367.479012345679,,0
79876464,0.9406678403877962,0.7808292198284619,1321.0,1180.0,812104-4,Meter,,221.28000000000003,1511.2835820895523,1367.479012345679,221.28000000000003,0
01699cd1,0.9405204439292163,0.7804095552283314,1447.0,1286.0,812104-4,Both,33638.4,160.44,1511.2835820895523,1367.479012345679,16899.420000000002,0
bf66339e,0.9399003147554019,0.779979326389693,1454.0,1039.0,812104-4,Both,25850.16,191.4,1511.2835820895523,1367.479012345679,13020.78,0
57ab0b40,0.9404169676002709,0.780235042308064,1426.0,1286.0,812104-4,Meter,,346.20000000000005,1511.2835820895523,1367.479012345679,346.20000000000005,0
cf1f0e42,0.9400812558838112,0.780099764121573,1439.0,758.0,812104-4,Meter,,669.72,1511.2835820895523,1367.479012345679,669.72,0
d5916302,0.9635200887386652,0.7810912869201161,973.0,1690.525965379494,811900-1,None,,,1966.486111111111,1319.4307359307359,,3
376d88fb,0.9631796729503961,0.7813152108858787,1338.0,1603.0,811900-1,Both,32559.84,405.12,1966.486111111111,1319.4307359307359,16482.48,3
a9119308,0.9634606584229672,0.7818258217613021,1147.0,1690.525965379494,811900-1,None,,,1966.486111111111,1319.4307359307359,,3
2eddf669,0.9632246266507352,0.7824708357325818,1359.0,2590.0,811900-1,Both,36709.92,468.24,1966.486111111111,1319.4307359307359,18589.079999999998,3
66b9f47a,0.9634914336533384,0.7822414898134866,1214.0,1357.0,811900-1,Both,43574.4,606.12,1966.486111111111,1319.4307359307359,22090.260000000002,3
d0e8416b,0.9634524759881984,0.7814406194934378,1437.0,1779.0,811900-1,Both,36115.92,538.9200000000001,1966.486111111111,1319.4307359307359,18327.42,3
88194881,0.9488718542596395,0.799244076861072,1422.0,669.0,811600-3,Meter,,588.72,1434.9307692307693,1392.7894736842106,588.72,3
f89e28b0,0.949055664209304,0.7999072331753183,1319.0,335.0,811600-3,None,,,1434.9307692307693,1392.7894736842106,,3
68804a61,0.9490522587263328,0.7994803783974902,1403.0,581.0,811600-3,Both,33886.8,521.16,1434.9307692307693,1392.7894736842106,17203.980000000003,3
135afd08,0.9491199178549792,0.7995689880905701,1416.0,599.0,811600-3,Both,34876.8,124.44,1434.9307692307693,1392.7894736842106,17500.620000000003,3
d09c7764,0.948934650305592,0.799940793352306,1327.0,2061.0,811600-3,Both,21921.12,256.44,1434.9307692307693,1392.7894736842106,11088.779999999999,3
c109f9ff,0.9491424642724056,0.7995985246549253,1416.0,599.0,811600-3,Both,17550.0,206.28,1434.9307692307693,1392.7894736842106,8878.14,3
ba141335,0.9490973648120935,0.7995394515262007,1415.0,652.0,811600-3,Both,25125.120000000003,255.0,1434.9307692307693,1392.7894736842106,12690.060000000001,3
b58c0ce3,0.9489846062231386,0.7993917596828624,1411.0,617.0,811600-3,Both,6029.279999999999,511.3200000000001,1434.9307692307693,1392.7894736842106,3270.2999999999993,3
a602dc54,0.9490748117692114,0.7995099149618454,1399.0,546.0,811600-3,Both,38552.4,266.88000000000005,1434.9307692307693,1392.7894736842106,19409.64,3
70e974b0,0.9401214061305403,0.7994183732640607,1446.0,18746.0,812103-1,None,,,3863.3506493506493,1350.8856088560885,,3
ebb6aac2,0.9397927836490645,0.7989739354795375,1393.0,31889.0,812103-1,Both,729327.6000000001,,3863.3506493506493,1350.8856088560885,,3
f49a40a7,0.9545819547697505,0.7904129598721994,1487.0,934.0,811800-4,Both,31902.48,214.08,1529.857142857143,1397.377659574468,16058.28,3
e48445a5,0.9544183789543261,0.7903383426077397,1133.0,1590.0589400693414,811800-4,None,,,1529.857142857143,1397.377659574468,,3
5d66409b,0.9546561532207605,0.7902990988524152,1503.0,617.0,811800-4,None,,,1529.857142857143,1397.377659574468,,3
4aae9cc0,0.9544976392516205,0.7903252613559744,1455.0,687.0,811800-4,Meter,,108.24000000000002,1529.857142857143,1397.377659574468,108.24000000000002,3
c6135eac,0.9542284537113019,0.7894316043638412,1482.0,793.0,811800-4,Meter,,327.24,1529.857142857143,1397.377659574468,327.24,3
4ad69f26,0.9545816897516168,0.7899752070584043,1392.0,564.0,811800-4,Meter,,224.52000000000004,1529.857142857143,1397.377659574468,224.52000000000004,3
50d1ca84,0.9544033988045122,0.7894209408882489,1297.0,1590.0589400693414,811800-4,None,,,1529.857142857143,1397.377659574468,,3
7eb88901,0.95467653311497,0.7899627843799806,1493.0,511.0,811800-4,None,,,1529.857142857143,1397.377659574468,,3
86e65cdb,0.9723450599659778,0.7910110617681312,938.0,1690.525965379494,811900-1,None,,,1966.486111111111,1319.4307359307359,,3
e4f4f01e,0.9719913601439352,0.7904633362238656,1082.0,1690.525965379494,811900-1,None,,,1966.486111111111,1319.4307359307359,,3
3d870d2d,0.9721246973906972,0.7907139008355131,1150.0,1690.525965379494,811900-1,None,,,1966.486111111111,1319.4307359307359,,3
b00016ab,0.9725025469898654,0.7912911178363657,938.0,1690.525965379494,811900-1,None,,,1966.486111111111,1319.4307359307359,,3
063421f8,0.9716851648217322,0.7901863294405302,1351.0,1057.0,811900-1,None,,,1966.486111111111,1319.4307359307359,,3
8dfc40db,0.9718348006835065,0.7902832840700995,1221.0,1092.0,811900-1,None,,,1966.486111111111,1319.4307359307359,,3
e69c77c6,0.9390785597881184,0.7762758435803789,1399.0,934.0,812101-2,Meter,,160.32,2667.8008298755185,1348.395176252319,160.32,0
e8bb8c9f,0.9388977180415132,0.7766206022263731,1405.0,1409.0,812101-2,Meter,,273.84,2667.8008298755185,1348.395176252319,273.84,0
c4ea6ba3,0.9391207639253558,0.7767170787136166,1380.0,1374.0,812101-2,Both,34061.759999999995,398.04,2667.8008298755185,1348.395176252319,17229.899999999998,0
4d4f1030,0.9386678810680742,0.7764090919174578,1374.0,1304.0,812101-2,None,,,2667.8008298755185,1348.395176252319,,0
617f4361,0.9389568833390847,0.776157733409164,1383.0,1321.0,812101-2,None,,,2667.8008298755185,1348.395176252319,,0
441a2a56,0.9392030851820614,0.7763876115998727,1399.0,1498.0,812101-2,Both,23163.840000000004,187.2,2667.8008298755185,1348.395176252319,11675.520000000002,0
ed697de7,0.9388425280158934,0.7760466059199302,1357.0,934.0,812101-2,None,,,2667.8008298755185,1348.395176252319,,0
9b089c80,0.9387853503542978,0.7765114594787832,1367.0,1321.0,812101-2,Both,22408.560000000005,117.72,2667.8008298755185,1348.395176252319,11263.140000000003,0
64f0a509,0.9387246280752102,0.7759414326556424,1346.0,1163.0,812101-2,None,,,2667.8008298755185,1348.395176252319,,0
c038a5f0,0.9390312209246083,0.7767626285344704,1380.0,1374.0,812101-2,Both,27067.679999999997,272.76,2667.8008298755185,1348.395176252319,13670.219999999998,0
a708c4b7,0.9432177785822518,0.804532953256512,1368.0,9021.0,811500-1,Both,81970.19999999998,,3704.622950819672,1398.878048780488,,3
c296901c,0.9952170389166497,0.8087524057437037,1289.0,1690.525965379494,811900-1,None,,,1966.486111111111,1319.4307359307359,,3
342b3bfc,0.9453680031818052,0.7845308441978744,1425.0,846.0,812104-3,Both,32884.56,287.40000000000003,1207.3681818181817,1399.7384615384615,16585.98,0
1e1ef3ce,0.9454022567751359,0.7831479664323524,1490.0,1180.0,812104-3,None,,,1207.3681818181817,1399.7384615384615,,0
a6787838,0.9457439844031512,0.7853629110479972,1475.0,1709.0,812002-4,Meter,,110.04,1180.0374531835207,1367.9938271604938,110.04,0
d4940612,0.9522244528650958,0.8003106228939316,1407.0,687.0,811800-1,Both,35374.32,192.24,1765.09375,1348.5089285714287,17783.28,3
0a003035,0.9522531079504297,0.8001965904646511,1386.0,951.0,811800-1,None,,,1765.09375,1348.5089285714287,,3
70a0e55e,0.9521251373207988,0.8005036119546389,1452.0,969.0,811800-1,Both,40850.64,,1765.09375,1348.5089285714287,,3
24169599,0.9520623280239349,0.8008189062087041,1366.0,617.0,811800-1,Both,40944.24,327.0,1765.09375,1348.5089285714287,20635.62,3
53a44bf8,0.9444752564828889,0.7924032858624912,1431.0,1409.0,812104-1,Meter,,184.2,1865.6006944444443,1390.5314465408806,184.2,3
7faf598b,0.9443031404582172,0.7922035486801775,1290.0,1603.0,812104-1,None,,,1865.6006944444443,1390.5314465408806,,0
948a87fd,0.9444443487434491,0.7916200256138097,1360.0,617.0,812104-1,None,,,1865.6006944444443,1390.5314465408806,,0
1bc7dca4,0.9443147946304897,0.7925249866117952,1392.0,1860.2809667673716,812104-1,None,,,1865.6006944444443,1390.5314465408806,,3
bfeec959,0.9443145561141719,0.7919753936060658,1157.0,1860.2809667673716,812104-1,None,,,1865.6006944444443,1390.5314465408806,,0
ca0f7a4b,0.9585241325840599,0.7929241452220595,1463.0,722.0,811900-2,Both,38923.19999999999,191.76,1173.6424418604652,1352.781690140845,19557.479999999996,3
058354b3,0.9613949746069501,0.7902409549436555,1271.0,1163.0,811900-2,Both,20409.84,123.12,1173.6424418604652,1352.781690140845,10266.48,3
72babab8,0.9618689926601185,0.7907567171258165,1338.0,2097.0,811900-2,Both,39180.240000000005,439.08,1173.6424418604652,1352.781690140845,19809.660000000003,3
8187ab4e,0.9612730993943153,0.7912769088904668,1329.0,934.0,811900-2,Both,7635.6,,1173.6424418604652,1352.781690140845,,3
498c977d,0.9616118919465393,0.791406016334733,1236.0,899.0,811900-2,Both,18965.52,244.44,1173.6424418604652,1352.781690140845,9604.98,3
004ce2ed,0.962061462077191,0.7909484251259897,1384.0,1603.0,811900-2,Both,36475.92,483.36,1173.6424418604652,1352.781690140845,18479.64,3
01df7653,0.9619348496654823,0.7914446556460177,1340.0,1269.0,811900-2,Both,25310.160000000003,717.48,1173.6424418604652,1352.781690140845,13013.820000000002,3
16ee506c,0.9620060070334446,0.7919127659854865,1283.0,1163.0,811900-2,None,,,1173.6424418604652,1352.781690140845,,3
c6ba88aa,0.9621040637416272,0.7913005453591921,979.0,1690.525965379494,811900-2,None,,,1173.6424418604652,1352.781690140845,,3
3b21725e,0.9618432196469549,0.7920004103724096,1452.0,2484.0,811900-2,Both,34859.520000000004,221.64,1173.6424418604652,1352.781690140845,17540.58,3
3446659d,0.9621782688180929,0.7918316532029195,1465.0,810.0,811900-2,Both,30438.0,234.36,1173.6424418604652,1352.781690140845,15336.18,3
c685f51d,0.96176361482609,0.7914772866030404,1455.0,1339.0,811900-2,Both,27270.000000000004,596.76,1173.6424418604652,1352.781690140845,13933.380000000001,3
e06f63d8,0.9614639787026107,0.7913492076158093,1190.0,1690.525965379494,811900-2,None,,,1173.6424418604652,1352.781690140845,,3
5e75ab58,0.9353951721779694,0.7801812467878193,1356.0,969.0,812104-4,Both,87012.0,,1511.2835820895523,1367.479012345679,,0
48aba68a,0.9617662981346591,0.788463483473663,1311.0,1868.0,811900-2,Both,23222.16,167.52,1173.6424418604652,1352.781690140845,11694.84,3
9cad1cfb,0.960559736842292,0.7874666469804339,1121.0,1690.525965379494,811900-2,None,,,1173.6424418604652,1352.781690140845,,3
4e4e3620,0.9611431411287121,0.7884983156895942,1088.0,1690.525965379494,811900-2,None,,,1173.6424418604652,1352.781690140845,,3
7ba6652b,0.961429592600215,0.7885874125465335,1487.0,1216.0,811900-2,Meter,,869.4000000000001,1173.6424418604652,1352.781690140845,869.4000000000001,3
64869c44,0.9613017544796492,0.788022816698259,1279.0,722.0,811900-2,Both,21075.84,40.68000000000001,1173.6424418604652,1352.781690140845,10558.26,3
715b9a87,0.9617943569291967,0.7887849033621706,1402.0,793.0,811900-2,Both,17175.6,659.1599999999999,1173.6424418604652,1352.781690140845,8917.38,3
fb6272a3,0.9612073748980237,0.7876758838580002,1441.0,2378.0,811900-2,Meter,,1043.16,1173.6424418604652,1352.781690140845,1043.16,3
f2a9bc79,0.961746653665756,0.7881643648640448,1147.0,1690.525965379494,811900-2,None,,,1173.6424418604652,1352.781690140845,,3
84704ad6,0.9610522730373106,0.7882016238777254,1281.0,1092.0,811900-2,Both,10458.72,250.56,1173.6424418604652,1352.781690140845,5354.639999999999,3
89a35b27,0.9613967303520674,0.7875983255672878,1452.0,3048.0,811900-2,Both,33306.48,428.16,1173.6424418604652,1352.781690140845,16867.320000000003,3
0bba6c24,0.961400473733157,0.7882843424967376,1454.0,1445.0,811900-2,Meter,,416.64,1173.6424418604652,1352.781690140845,416.64,3
1b006dd0,0.9609697530170145,0.7880091219808776,1334.0,969.0,811900-2,Both,4842.72,262.44,1173.6424418604652,1352.781690140845,2552.58,3
b146a06c,0.961718859889352,0.7877878142654566,1399.0,1321.0,811900-2,Meter,,182.88,1173.6424418604652,1352.781690140845,182.88,3
b003f3da,0.9490647079529992,0.741200965908817,1240.0,1110.0,812101-1,Both,20965.68,788.3999999999999,1580.1323763955343,1311.4172015404365,10877.04,2
7d1ffb12,0.9500966289229993,0.7948655563522635,1403.0,722.0,812001-2,Both,8472.960000000001,283.08,1480.3904761904762,1393.9035087719299,4378.02,3
9fb714a6,0.9500009838798036,0.7954332736578635,1395.0,1938.0,812001-2,Both,136589.75999999998,1102.8,1480.3904761904762,1393.9035087719299,68846.27999999998,3
598c8fa7,0.9504654281530165,0.7952882431726493,1340.0,1339.0,812001-2,Meter,,570.23,1480.3904761904762,1393.9035087719299,570.23,3
a31716c9,0.9503903418912714,0.7951870213485392,1368.0,1057.0,812001-2,Both,1258.56,323.16,1480.3904761904762,1393.9035087719299,790.86,3
6211d87a,0.9437356372596106,0.7959606195140196,1446.0,1022.0,812104-1,Both,39138.48,182.04,1865.6006944444443,1390.5314465408806,19660.260000000002,3
c4f30eeb,0.9479719388202952,0.7338717209688497,1226.0,1593.5057471264367,812101-1,None,,,1580.1323763955343,1311.4172015404365,,2
180fccb6,0.9467255254266007,0.7339989699732143,1251.0,1593.5057471264367,812101-1,None,,,1580.1323763955343,1311.4172015404365,,2
0e1191ea,0.9483293488961628,0.7337756684945873,1268.0,669.0,812101-1,Both,42743.52,417.0,1580.1323763955343,1311.4172015404365,21580.26,2
006c1be9,0.9481543044211556,0.7338284175146867,1256.0,1180.0,812101-1,Both,20530.08,481.3200000000001,1580.1323763955343,1311.4172015404365,10505.7,2
7d54c7c5,0.9475538727198725,0.734810395510209,1204.0,1374.0,812101-1,Both,30038.399999999998,928.8,1580.1323763955343,1311.4172015404365,15483.599999999999,2
3df911e8,0.9478072300523621,0.7339350342274571,1135.0,1593.5057471264367,812101-1,None,,,1580.1323763955343,1311.4172015404365,,2
6bf5a3a8,0.9498154380613819,0.733133351967652,1129.0,1593.5057471264367,822500-4,None,,,1162.2824427480916,1257.6742424242425,,2
bfcfea8e,0.9383639383999771,0.775838108809694,1092.0,2483.786121673004,812101-2,None,,,2667.8008298755185,1348.395176252319,,0
a3493eb9,0.938522187350987,0.7762728394032479,1297.0,846.0,812101-2,Meter,,236.52,2667.8008298755185,1348.395176252319,236.52,0
d2c0d9c1,0.9380154395587361,0.7760613561589906,1220.0,1039.0,812101-2,Both,31499.28,191.88000000000005,2667.8008298755185,1348.395176252319,15845.58,0
eee6f669,0.938038231117936,0.7765100070087527,1279.0,1480.0,812101-2,Both,31696.559999999998,657.6,2667.8008298755185,1348.395176252319,16177.079999999998,0
6502674a,0.9378526521722463,0.7760916866200063,1278.0,1145.0,812101-2,Both,17864.64,413.7600000000001,2667.8008298755185,1348.395176252319,9139.199999999999,0
54e99c03,0.9381872706889176,0.7759547574893304,1322.0,1039.0,812101-2,None,,,2667.8008298755185,1348.395176252319,,0
a3330060,0.9385594886528139,0.7758598778169556,1270.0,1233.0,812101-2,Both,21818.16,451.0799999999999,2667.8008298755185,1348.395176252319,11134.619999999999,0
c5d15357,0.9498256743866662,0.7499283621034181,1333.0,1691.0,812101-1,None,,,1580.1323763955343,1311.4172015404365,,2
c2adfc5e,0.9488011474224933,0.7985122845719701,1350.0,405.0,811600-3,Meter,,552.24,1434.9307692307693,1392.7894736842106,552.24,3
099a43c5,0.9487357210715928,0.7988200728939603,1346.0,705.0,811600-3,Both,33516.0,130.68,1434.9307692307693,1392.7894736842106,16823.34,3
6bc1e0c6,0.9487647140550415,0.7988580536318892,1376.0,511.0,811600-3,Meter,,240.6,1434.9307692307693,1392.7894736842106,240.6,3
d257055d,0.9490855715053002,0.7983153711357289,1424.0,1427.0,811600-3,Both,51437.52,599.16,1434.9307692307693,1392.7894736842106,26018.34,3
c47a6ce3,0.9490491182614882,0.7982689191595966,1435.0,669.0,811600-3,Both,54951.84,387.72,1434.9307692307693,1392.7894736842106,27669.78,3
30f70b4d,0.9486487354958015,0.798706148723312,1339.0,705.0,811600-3,Both,28611.36,444.72,1434.9307692307693,1392.7894736842106,14528.04,3
1ac32279,0.9488288086898358,0.7985593229490604,1350.0,405.0,811600-3,Meter,,621.12,1434.9307692307693,1392.7894736842106,621.12,3
0892400a,0.9899194059989611,0.8042879459215015,984.0,1690.525965379494,811900-1,None,,,1966.486111111111,1319.4307359307359,,3
45ed051e,0.9891350848425695,0.8024608919964891,1039.0,1690.525965379494,811900-1,None,,,1966.486111111111,1319.4307359307359,,3
2d76a96e,0.989694107461002,0.8035536907484442,1189.0,1690.525965379494,811900-1,None,,,1966.486111111111,1319.4307359307359,,3
db3a3c07,0.9609686266899615,0.7857335074216394,1096.0,1690.525965379494,811900-3,None,,,1746.9829351535836,1297.048076923077,,3
136cad8d,0.9610461577439544,0.7856012875415956,1096.0,1690.525965379494,811900-3,None,,,1746.9829351535836,1297.048076923077,,3
a06e40b7,0.9608298896987861,0.784726891565029,1241.0,2114.0,811900-3,Both,41689.44,609.24,1746.9829351535836,1297.048076923077,21149.34,3
112387eb,0.9609790617788363,0.7861143522794265,1231.0,2396.0,811900-3,Both,33073.2,538.44,1746.9829351535836,1297.048076923077,16805.82,3
54df8e88,0.9608903800870117,0.7850483385181946,1004.0,1690.525965379494,811900-3,None,,,1746.9829351535836,1297.048076923077,,3
