house_id,total_gas_usage,Block,hours_of_sunlight_per_year,sq_ft_available_for_solar_panels
d5f0760f,0.0,17,1138,0
b3793b26,0.0,19,1155,0
3461a56f,0.0,26,1163,0
dc2bc6e1,0.0,26,1196,0
7b94635e,0.0,19,1077,0
1833b22f,0.0,19,1059,0
a3df6173,0.0,36,1177,0
fd5c8d7c,0.0,36,1409,0
fd5c8d7c,0.0,36,0,0
5b42ecf4,0.0,36,1343,0
9a58a814,0.0,36,1353,0
3f5b39f7,0.0,2,1395,9003
3f5b39f7,0.0,2,0,0
3f5b39f7,0.0,2,0,0
9fde9a74,0.0,19,1115,0
f4ccba4e,0.0,28,0,0
f4ccba4e,0.0,28,0,0
a282db5b,0.0,28,0,0
799ed861,0.0,11,0,0
f35a09c9,0.0,11,0,0
8cc257b2,0.0,11,0,0
f178f58a,0.0,11,0,0
cb8e4ef8,0.0,11,0,0
b03b5dc6,0.0,30,1032,0
13b99a9f,0.0,18,1088,0
2077f1a5,0.0,18,964,0
4f0b542f,0.0,18,795,0
b3f8a72b,0.0,18,1063,0
05e9fdcf,0.0,19,1126,0
12baab67,0.0,19,859,0
d98d49a3,0.0,19,1140,0
9aad7c3d,0.0,19,1139,0
d27ddceb,0.0,19,1163,0
879e64ca,0.0,19,884,0
890c7e13,0.0,14,1375,0
0a5052fe,0.0,26,919,0
5318b285,0.0,28,1156,0
5318b285,0.0,28,0,0
e96eed8e,0.0,27,1130,0
5f8c66ff,0.0,27,1005,0
f35106d2,0.0,27,1078,0
2f4ad011,0.0,27,1038,0
a8e6ef1d,0.0,27,1181,0
abcfd6d8,0.0,36,1204,0
1d0fcfdd,0.0,36,1204,0
7b1def76,0.0,28,1096,0
1594e413,0.0,25,1095,0
94e9136f,0.0,24,1199,0
9b6010f0,0.0,30,1176,0
7382f96f,0.0,30,1051,0
f5670aea,0.0,16,1284,0
0857c4c0,0.0,26,1423,0
a40ed2b3,0.0,26,1423,0
94734b5f,0.0,17,1165,0
8ca990de,0.0,31,0,0
ab1dde36,0.0,3,0,0
e3b581f7,0.0,3,0,0
cee7b261,0.0,3,0,0
9da65df0,0.0,12,1234,0
c1f7ef26,0.0,12,1256,0
030bd5b7,0.0,33,1195,0
a1d02571,0.0,32,1120,0
acfe3d8d,0.0,32,1160,0
97dc0374,0.0,7,1432,1339
97dc0374,0.0,7,0,0
97dc0374,0.0,7,0,0
e5e15981,0.0,9,1391,4070
e5e15981,0.0,9,0,0
c93622a0,0.0,30,1103,0
1f412b9d,0.0,30,1192,0
bfd39765,0.0,30,1192,0
300e4a4e,1507.44,18,1475,969
300e4a4e,1507.44,18,0,0
300e4a4e,1507.44,18,0,0
41b2c7aa,0.0,31,998,0
00dab67d,0.0,31,998,0
54b76425,0.0,19,933,0
d2f02b51,0.0,19,933,0
6428f65c,0.0,19,1177,0
2f3e6393,0.0,19,1123,0
877b64dd,0.0,28,1163,0
f67893ff,0.0,24,1205,0
08981090,0.0,24,1135,0
1ee03cae,0.0,24,1183,0
595ae90e,0.0,24,1105,0
007fe4af,0.0,16,1177,0
d20325f2,0.0,16,1316,0
0c5fb998,0.0,16,1177,0
4c4c6361,0.0,16,1226,0
f37b9ed5,0.0,28,1182,0
d43c47a7,0.0,17,1165,0
f35d2b43,0.0,24,1170,0
3161641a,0.0,17,863,0
4f31469b,0.0,17,863,0
c9d4943b,0.0,17,1104,0
55228178,0.0,19,1099,0
4cd0abcf,0.0,19,1095,0
bf3784e8,0.0,26,1229,0
26420330,0.0,26,1307,0
2e9ccda3,0.0,19,1122,0
31863b86,0.0,19,0,0
8b38bef2,0.0,19,1160,0
9958686c,0.0,28,1202,0
8c114d3c,0.0,30,1248,0
6ee894ee,0.0,30,1156,0
bb48c390,0.0,30,1247,0
8d164083,0.0,30,987,0
ac536dee,0.0,30,1158,0
452debf0,0.0,30,1243,0
8676efef,0.0,29,1190,0
7231dacb,0.0,30,1255,0
65a136fb,0.0,30,1135,0
e9f3a7a7,0.0,19,1118,0
fcf51e75,0.0,28,1276,0
d0c61049,0.0,20,1206,0
a7aef84e,0.0,17,1115,0
57c3caf5,0.0,32,0,0
30d4196d,0.0,32,0,0
b8ec7e63,7516.5599999999995,27,1488,1216
b8ec7e63,7516.5599999999995,27,0,0
cba1cbb9,0.0,28,1151,0
3cce99fb,0.0,5,1381,3982
3cce99fb,0.0,5,0,0
f77b467c,9186.48,5,1378,2202
f77b467c,9186.48,5,0,0
20f0cdad,0.0,13,1230,0
